id,severity,prompt_style,scenario_topic,prompt_text
001-แพ-ร-นแรง-anaphylaxis-panic,critical,panic,แพ้รุนแรง (Anaphylaxis),คนไข้เพิ่งกินอาหารแล้วอยู่ๆหน้าบวมตาบวม ผื่นขึ้นทั้งตัว หายใจไม่ออกเหมือนคอจะปิด! มีปากกาฉีดอะดรีนาลินอยู่แต่ไม่แน่ใจต้องทำยังไง ช่วยบอกที
001-แพ-ร-นแรง-anaphylaxis-calm,critical,calm,แพ้รุนแรง (Anaphylaxis),ผู้ป่วยเพิ่งทานอาหารแล้วเกิดหน้าบวมตาบวม มีผื่นขึ้นทั่วตัวและเริ่มหายใจลำบาก ตอนนี้ยังรู้สึกตัวและมีอุปกรณ์ฉีดอะดรีนาลินอยู่ ขอคำแนะนำการจัดท่าและขั้นตอนที่ควรทำระหว่างรอรถพยาบาล
001-แพ-ร-นแรง-anaphylaxis-misspelled,critical,misspelled,แพ้รุนแรง (Anaphylaxis),คนไข้พึ่งกินของแล้วจู่ๆหน้าบวมตาบวม ผื่นขึ้นทั้งตัว หายใจม่ายออกเหมือนคอปิดๆ มีปากกาฉีดอะดรีนาลินอยุ่แต่ไม่ชัวร์ทำไง ช่วยบอกหน่อย
002-ล-นล-ม-panic,critical,panic,ลื่นล้ม,เขาลื่นล้มพื้นเปียก หัวฟาดพื้นแรงมาก ตอนนี้มึนๆพูดไม่ค่อยรู้เรื่องจะอ้วก! ต้องขยับตัวเขาไหมหรือห้ามขยับ
002-ล-นล-ม-calm,critical,calm,ลื่นล้ม,มีผู้ป่วยลื่นล้มบนพื้นลื่นและศีรษะกระแทกพื้น ตอนนี้สับสนตอบคำถามไม่ชัดและบ่นปวดหลัง ขอคำแนะนำการประคองคอ การสังเกตอาการอันตราย และการดูแลแผลระหว่างรอความช่วยเหลือ
002-ล-นล-ม-misspelled,critical,misspelled,ลื่นล้ม,ลื่นล้มพื้นลื่น หัวฟาดพื้นดังมาก ตอนนี้มึนๆพูดไม่ค่อยรุ้เรื่องเหมือนจะอ้วก ต้องขยับตัวเค้ามั้ยหรือห้ามขยับเลย
003-ม-อ-แขนขาด-panic,critical,panic,มือ/แขนขาด,อุบัติเหตุเครื่องตัด แขน/ข้อมือขาด เลือดพุ่งหยุดไม่อยู่! ชิ้นส่วนที่ขาดหล่นอยู่ตรงนี้ ต้องทำยังไงกับแผลกับชิ้นส่วนนั้นเดี๋ยวนี้
003-ม-อ-แขนขาด-calm,critical,calm,มือ/แขนขาด,เกิดอุบัติเหตุถูกของมีคมทำให้มือ/แขนขาด เลือดออกมากและผู้ป่วยเริ่มหน้าซีด ชิ้นส่วนที่ขาดยังอยู่ ขอคำแนะนำการกดห้ามเลือดและวิธีเก็บชิ้นส่วนให้ถูกต้องก่อนนำส่งโรงพยาบาล
003-ม-อ-แขนขาด-misspelled,critical,misspelled,มือ/แขนขาด,โดนเครื่องตัด ข้อมือเหมือนขาด เลือดพุ่งไม่หยุดเลย! ชิ้นส่วนที่หล่นอยุ่ตรงนี้ ต้องทำไงกับแผลกับชิ้นส่วนนั้นตอนนี้
004-ขาท-อนล-างห-ก-panic,critical,panic,ขาท่อนล่างหัก,รถล้มแล้วหน้าแข้งผิดรูปเหมือนหัก บางส่วนเหมือนกระดูกจะโผล่ เขาเจ็บมากขยับไม่ได้! ต้องดามยังไง ห้ามให้กินน้ำใช่ไหม
