scenario_id,scenario_name,input_query,reference_severity,reference_facility_type,model_name,winner,comparative_rationale_th,api_url,api_status_code,api_error,predicted_severity,predicted_facility_type,model_guidance,medical_safety,actionability,linguistic_flow,total_score,rationale_th,formatted_output,judge_model_used,judge_parse_mode,judge_error
scenario_001,หัวใจหยุดเต้นเฉียบพลัน,"แจ้งเหตุ: หัวใจหยุดเต้นเฉียบพลัน หรือมีอาการ หยุดหายใจ, หัวใจวาย, นิ่งไป, ไม่ตื่น, ปั๊มหัวใจ, CPR, cardiac arrest, ไม่หายใจ, หน้าเขียว, ใจสั่น, นอนราบไม่ได้, หน้ามืด",critical,Hospital,deepseek,tie_both_failed,ไม่มีผลลัพธ์จากทั้งสองโมเดล,http://127.0.0.1:5002/generate_guidance_sentence_only,,"Request error: HTTPConnectionPool(host='127.0.0.1', port=5002): Max retries exceeded with url: /generate_guidance_sentence_only (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104d30280>: Failed to establish a new connection: [Errno 61] Connection refused'))",,,,0,0,0,0,ไม่มีข้อความคำแนะนำให้ประเมิน,"Medical Safety: 0/2
Actionability: 0/2
Linguistic Flow: 0/2
Total Score: 0/6
Rationale (Thai): ไม่มีข้อความคำแนะนำให้ประเมิน",,,
scenario_001,หัวใจหยุดเต้นเฉียบพลัน,"แจ้งเหตุ: หัวใจหยุดเต้นเฉียบพลัน หรือมีอาการ หยุดหายใจ, หัวใจวาย, นิ่งไป, ไม่ตื่น, ปั๊มหัวใจ, CPR, cardiac arrest, ไม่หายใจ, หน้าเขียว, ใจสั่น, นอนราบไม่ได้, หน้ามืด",critical,Hospital,finetuned,tie_both_failed,ไม่มีผลลัพธ์จากทั้งสองโมเดล,http://127.0.0.1:5001/generate_guidance_sentence_only,,"Request error: HTTPConnectionPool(host='127.0.0.1', port=5001): Max retries exceeded with url: /generate_guidance_sentence_only (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104d30a90>: Failed to establish a new connection: [Errno 61] Connection refused'))",,,,0,0,0,0,ไม่มีข้อความคำแนะนำให้ประเมิน,"Medical Safety: 0/2
Actionability: 0/2
Linguistic Flow: 0/2
Total Score: 0/6
Rationale (Thai): ไม่มีข้อความคำแนะนำให้ประเมิน",,,
scenario_002,หมดสติ (หายใจอยู่),"แจ้งเหตุ: หมดสติ (หายใจอยู่) หรือมีอาการ สลบ, เป็นลม, ปลุกไม่ตื่น, หมดสติ, นอนนิ่ง, หลับลึก, unconscious, วูบ",mild,Clinic,deepseek,tie_both_failed,ไม่มีผลลัพธ์จากทั้งสองโมเดล,http://127.0.0.1:5002/generate_guidance_sentence_only,,"Request error: HTTPConnectionPool(host='127.0.0.1', port=5002): Max retries exceeded with url: /generate_guidance_sentence_only (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104c883d0>: Failed to establish a new connection: [Errno 61] Connection refused'))",,,,0,0,0,0,ไม่มีข้อความคำแนะนำให้ประเมิน,"Medical Safety: 0/2
Actionability: 0/2
Linguistic Flow: 0/2
Total Score: 0/6
Rationale (Thai): ไม่มีข้อความคำแนะนำให้ประเมิน",,,
scenario_002,หมดสติ (หายใจอยู่),"แจ้งเหตุ: หมดสติ (หายใจอยู่) หรือมีอาการ สลบ, เป็นลม, ปลุกไม่ตื่น, หมดสติ, นอนนิ่ง, หลับลึก, unconscious, วูบ",mild,Clinic,finetuned,tie_both_failed,ไม่มีผลลัพธ์จากทั้งสองโมเดล,http://127.0.0.1:5001/generate_guidance_sentence_only,,"Request error: HTTPConnectionPool(host='127.0.0.1', port=5001): Max retries exceeded with url: /generate_guidance_sentence_only (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104d30a60>: Failed to establish a new connection: [Errno 61] Connection refused'))",,,,0,0,0,0,ไม่มีข้อความคำแนะนำให้ประเมิน,"Medical Safety: 0/2
Actionability: 0/2
Linguistic Flow: 0/2
Total Score: 0/6
Rationale (Thai): ไม่มีข้อความคำแนะนำให้ประเมิน",,,
scenario_003,จมน้ำ (หมดสติ),"แจ้งเหตุ: จมน้ำ (หมดสติ) หรือมีอาการ จมน้ำ, ไม่หายใจ, ตัวเขียว, ช่วยคนจมน้ำ, CPR, สำลักน้ำ",critical,Hospital,deepseek,tie_both_failed,ไม่มีผลลัพธ์จากทั้งสองโมเดล,http://127.0.0.1:5002/generate_guidance_sentence_only,,"Request error: HTTPConnectionPool(host='127.0.0.1', port=5002): Max retries exceeded with url: /generate_guidance_sentence_only (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104d300a0>: Failed to establish a new connection: [Errno 61] Connection refused'))",,,,0,0,0,0,ไม่มีข้อความคำแนะนำให้ประเมิน,"Medical Safety: 0/2
Actionability: 0/2
Linguistic Flow: 0/2
Total Score: 0/6
Rationale (Thai): ไม่มีข้อความคำแนะนำให้ประเมิน",,,
scenario_003,จมน้ำ (หมดสติ),"แจ้งเหตุ: จมน้ำ (หมดสติ) หรือมีอาการ จมน้ำ, ไม่หายใจ, ตัวเขียว, ช่วยคนจมน้ำ, CPR, สำลักน้ำ",critical,Hospital,finetuned,tie_both_failed,ไม่มีผลลัพธ์จากทั้งสองโมเดล,http://127.0.0.1:5001/generate_guidance_sentence_only,,"Request error: HTTPConnectionPool(host='127.0.0.1', port=5001): Max retries exceeded with url: /generate_guidance_sentence_only (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104d31cc0>: Failed to establish a new connection: [Errno 61] Connection refused'))",,,,0,0,0,0,ไม่มีข้อความคำแนะนำให้ประเมิน,"Medical Safety: 0/2
Actionability: 0/2
Linguistic Flow: 0/2
Total Score: 0/6
Rationale (Thai): ไม่มีข้อความคำแนะนำให้ประเมิน",,,
scenario_004,จมน้ำ (รู้สึกตัว),"แจ้งเหตุ: จมน้ำ (รู้สึกตัว) หรือมีอาการ ตกน้ำ, สำลักน้ำ, ตะเกียกตะกาย, ช่วยด้วยตกน้ำ",critical,Hospital,deepseek,tie_both_failed,ไม่มีผลลัพธ์จากทั้งสองโมเดล,http://127.0.0.1:5002/generate_guidance_sentence_only,,"Request error: HTTPConnectionPool(host='127.0.0.1', port=5002): Max retries exceeded with url: /generate_guidance_sentence_only (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104d325c0>: Failed to establish a new connection: [Errno 61] Connection refused'))",,,,0,0,0,0,ไม่มีข้อความคำแนะนำให้ประเมิน,"Medical Safety: 0/2
Actionability: 0/2
Linguistic Flow: 0/2
Total Score: 0/6
Rationale (Thai): ไม่มีข้อความคำแนะนำให้ประเมิน",,,
scenario_004,จมน้ำ (รู้สึกตัว),"แจ้งเหตุ: จมน้ำ (รู้สึกตัว) หรือมีอาการ ตกน้ำ, สำลักน้ำ, ตะเกียกตะกาย, ช่วยด้วยตกน้ำ",critical,Hospital,finetuned,tie_both_failed,ไม่มีผลลัพธ์จากทั้งสองโมเดล,http://127.0.0.1:5001/generate_guidance_sentence_only,,"Request error: HTTPConnectionPool(host='127.0.0.1', port=5001): Max retries exceeded with url: /generate_guidance_sentence_only (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104cf3ee0>: Failed to establish a new connection: [Errno 61] Connection refused'))",,,,0,0,0,0,ไม่มีข้อความคำแนะนำให้ประเมิน,"Medical Safety: 0/2
Actionability: 0/2
Linguistic Flow: 0/2
Total Score: 0/6
Rationale (Thai): ไม่มีข้อความคำแนะนำให้ประเมิน",,,
scenario_005,อาหารติดคอ (ผู้ใหญ่),"แจ้งเหตุ: อาหารติดคอ (ผู้ใหญ่) หรือมีอาการ ติดคอ, หายใจไม่ออก, ไอไม่ออก, หน้าเขียว, มือจับคอ, สำลัก, choking, กินแล้วติด, CPR",mild,Clinic,deepseek,tie_both_failed,ไม่มีผลลัพธ์จากทั้งสองโมเดล,http://127.0.0.1:5002/generate_guidance_sentence_only,,"Request error: HTTPConnectionPool(host='127.0.0.1', port=5002): Max retries exceeded with url: /generate_guidance_sentence_only (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104d323b0>: Failed to establish a new connection: [Errno 61] Connection refused'))",,,,0,0,0,0,ไม่มีข้อความคำแนะนำให้ประเมิน,"Medical Safety: 0/2
Actionability: 0/2
Linguistic Flow: 0/2
Total Score: 0/6
Rationale (Thai): ไม่มีข้อความคำแนะนำให้ประเมิน",,,
scenario_005,อาหารติดคอ (ผู้ใหญ่),"แจ้งเหตุ: อาหารติดคอ (ผู้ใหญ่) หรือมีอาการ ติดคอ, หายใจไม่ออก, ไอไม่ออก, หน้าเขียว, มือจับคอ, สำลัก, choking, กินแล้วติด, CPR",mild,Clinic,finetuned,tie_both_failed,ไม่มีผลลัพธ์จากทั้งสองโมเดล,http://127.0.0.1:5001/generate_guidance_sentence_only,,"Request error: HTTPConnectionPool(host='127.0.0.1', port=5001): Max retries exceeded with url: /generate_guidance_sentence_only (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104d31ab0>: Failed to establish a new connection: [Errno 61] Connection refused'))",,,,0,0,0,0,ไม่มีข้อความคำแนะนำให้ประเมิน,"Medical Safety: 0/2
Actionability: 0/2
Linguistic Flow: 0/2
Total Score: 0/6
Rationale (Thai): ไม่มีข้อความคำแนะนำให้ประเมิน",,,
