model,group_type,group_value,metric,count,mean,median,min,max
gpt_judge,overall,all,guidance_compliance,225,4.0267,5.0,1.0,5.0
gpt_judge,overall,all,guidance_correctness,225,4.0044,5.0,1.0,5.0
gpt_judge,overall,all,guidance_readability,225,4.28,5.0,1.0,5.0
gpt_judge,overall,all,facilities_total_score_percent,225,47.8933,65.0,0.0,100.0
gpt_judge,overall,all,script_total_compliance,225,6.7904,8.0,0.0,9.0
gpt_judge,prompt_style,panic,guidance_compliance,75,4.0667,5.0,1.0,5.0
gpt_judge,prompt_style,panic,guidance_correctness,75,4.04,5.0,1.0,5.0
gpt_judge,prompt_style,panic,guidance_readability,75,4.3733,5.0,1.0,5.0
gpt_judge,prompt_style,panic,facilities_total_score_percent,75,46.7733,65.0,0.0,100.0
gpt_judge,prompt_style,panic,script_total_compliance,75,7.0367,8.0,0.0,9.0
gpt_judge,prompt_style,calm,guidance_compliance,75,3.8933,5.0,1.0,5.0
gpt_judge,prompt_style,calm,guidance_correctness,75,3.8667,5.0,1.0,5.0
gpt_judge,prompt_style,calm,guidance_readability,75,4.1067,5.0,1.0,5.0
gpt_judge,prompt_style,calm,facilities_total_score_percent,75,46.2933,65.0,0.0,100.0
gpt_judge,prompt_style,calm,script_total_compliance,75,6.7133,8.0,0.0,9.0
gpt_judge,prompt_style,misspelled,guidance_compliance,75,4.12,5.0,1.0,5.0
gpt_judge,prompt_style,misspelled,guidance_correctness,75,4.1067,5.0,1.0,5.0
gpt_judge,prompt_style,misspelled,guidance_readability,75,4.36,5.0,1.0,5.0
gpt_judge,prompt_style,misspelled,facilities_total_score_percent,75,50.6133,70.0,0.0,100.0
gpt_judge,prompt_style,misspelled,script_total_compliance,75,6.6213,8.0,0.0,9.0
gpt_judge,severity_group,critical,guidance_compliance,108,4.2685,5.0,1.0,5.0
gpt_judge,severity_group,critical,guidance_correctness,108,4.2315,5.0,1.0,5.0
gpt_judge,severity_group,critical,guidance_readability,108,4.5,5.0,1.0,5.0
gpt_judge,severity_group,critical,facilities_total_score_percent,108,52.5,70.0,0.0,100.0
gpt_judge,severity_group,critical,script_total_compliance,108,7.2602,8.0,0.0,9.0
gpt_judge,severity_group,non-critical,guidance_compliance,117,3.8034,4.0,1.0,5.0
gpt_judge,severity_group,non-critical,guidance_correctness,117,3.7949,4.0,1.0,5.0
gpt_judge,severity_group,non-critical,guidance_readability,117,4.0769,5.0,1.0,5.0
gpt_judge,severity_group,non-critical,facilities_total_score_percent,117,43.641,50.0,0.0,100.0
gpt_judge,severity_group,non-critical,script_total_compliance,117,6.3568,8.0,0.0,9.0
claude_judge,overall,all,guidance_compliance,190,4.1526,4.0,1.0,5.0
claude_judge,overall,all,guidance_correctness,190,4.1579,4.0,1.0,5.0
claude_judge,overall,all,guidance_readability,190,4.3842,4.0,1.0,5.0
claude_judge,overall,all,facilities_total_score_percent,190,84.7053,100.0,0.0,100.0
claude_judge,overall,all,script_total_compliance,190,6.5539,7.5,0.0,9.0
claude_judge,prompt_style,panic,guidance_compliance,64,4.0625,4.0,2.0,5.0
claude_judge,prompt_style,panic,guidance_correctness,64,4.0469,4.0,2.0,5.0
claude_judge,prompt_style,panic,guidance_readability,64,4.3438,4.0,3.0,5.0
claude_judge,prompt_style,panic,facilities_total_score_percent,64,88.4375,100.0,0.0,100.0
claude_judge,prompt_style,panic,script_total_compliance,64,6.6727,7.55,0.0,9.0
claude_judge,prompt_style,calm,guidance_compliance,63,4.254,4.0,1.0,5.0
claude_judge,prompt_style,calm,guidance_correctness,63,4.2381,4.0,1.0,5.0
claude_judge,prompt_style,calm,guidance_readability,63,4.4921,5.0,1.0,5.0
claude_judge,prompt_style,calm,facilities_total_score_percent,63,80.8095,100.0,0.0,100.0
claude_judge,prompt_style,calm,script_total_compliance,63,6.4762,7.5,0.0,9.0
claude_judge,prompt_style,misspelled,guidance_compliance,63,4.1429,4.0,2.0,5.0
claude_judge,prompt_style,misspelled,guidance_correctness,63,4.1905,4.0,2.0,5.0
claude_judge,prompt_style,misspelled,guidance_readability,63,4.3175,4.0,3.0,5.0
claude_judge,prompt_style,misspelled,facilities_total_score_percent,63,84.8095,100.0,28.0,100.0
claude_judge,prompt_style,misspelled,script_total_compliance,63,6.5111,7.5,0.0,9.0
claude_judge,severity_group,critical,guidance_compliance,108,4.213,4.0,1.0,5.0
claude_judge,severity_group,critical,guidance_correctness,108,4.2315,4.0,1.0,5.0
claude_judge,severity_group,critical,guidance_readability,108,4.4259,4.0,1.0,5.0
claude_judge,severity_group,critical,facilities_total_score_percent,108,92.4907,100.0,0.0,100.0
claude_judge,severity_group,critical,script_total_compliance,108,6.8412,7.5,0.0,9.0
claude_judge,severity_group,non-critical,guidance_compliance,82,4.0732,4.0,1.0,5.0
claude_judge,severity_group,non-critical,guidance_correctness,82,4.061,4.0,1.0,5.0
claude_judge,severity_group,non-critical,guidance_readability,82,4.3293,4.0,1.0,5.0
claude_judge,severity_group,non-critical,facilities_total_score_percent,82,74.4512,100.0,0.0,100.0
claude_judge,severity_group,non-critical,script_total_compliance,82,6.1756,7.55,0.0,9.0
